en,es
This utility shows the current CPU Frequency Graphic Text Graphic and Text Frequency Scaling Unsupported CPU frequency scaling unsupported You will not be able to modify the frequency of your machine.,La tecla Alt izquierda cambia la distribución.
Your machine may be misconfigured or not have hardware support for CPU frequency scaling.,La tecla Bloq Mayús.
Change CPU Frequency scaling Privileges are required to change the CPU Frequency scaling.,cambia la distribución.
Drive Mount Applet Factory Factory for drive mount applet Disk Mounter Mount local disks and devices (mounted) (not mounted) Cannot execute '%s' _Play DVD _Play CD _Open %s Un_mount %s _Mount %s _Eject %s Applet for mounting and unmounting block volumes.,Mayús+Bloq Mayús cambia la distribución.
Interval timeout to check mount point status Time in seconds between status updates Geyes Applet Factory A set of eyeballs for your panel A goofy set of eyes for the GNOME panel.,Ambas teclas Mayús.
They follow your mouse.,juntas cambian la distribución.
The eyes look in the direction of the mouse pointer Directory in which the theme is located Can not launch the eyes applet.,Ambas teclas Alt juntas cambian la distribución.
There was a fatal error while trying to load the theme.,Ambas teclas Ctrl juntas cambian la distribución.
"Geyes Preferences Themes _Select a theme: Generic Keyboard Arabic keymap Armenian Basque Belgian Bulgarian keymap Brazil Portuguese keymap Bulgarian Cyrillic Swiss keymap Czech keymap German keymap Danish keymap Estonian keymap Spanish keymap Finnish keymap French Swiss French-Canadian 105-key French Swiss keymap French keymap GB 102-key English keymap GB 105-key Georgian keymap Georgian Latin Georgian Russian layout German German Swiss with Euro Greek keymap Hungarian 101-key latin 1 Hungarian latin1 Hungarian 101-key latin 2 Hungarian 105-key latin 2 Hungarian 105-key latin 1 Sun (!not PC!) type5 Hungarian latin 2 Hungarian PC/AT 101 keyboard Hebrew keymap Icelandic keymap Italian keymap Japanese keymap Lao keymap Lithuanian keymap Macedonian Dutch keymap Norwegian Polish deadkeys Polish Portugal Deadkeys Portugal Portuguese keymap Russian keymap Plain Russian keymap Russian Cyrillic Swedish keymap Slovenian keymap Slovak keymap Slovenian Swedish Thai Thai Kedmanee Thai keymap Turkish ""F"" keyboard Turkish ""Q"" keyboard Turkish keymap UK 105-key UK PC/AT keyboard US PC/AT 101 keyboard US 101-key keyboard US 84-key US DEC 450 US IBM RS/6000 US International US 105-key keyboard (with windows keys) US Macintosh US Silicon Graphics 101-key US Sun type5 Serbian keymap Mongolian alt keymap Mongolian phonetic keymap Mongolian keymap Layout shift behavior Right Alt key changes layout.",Control+Mayús.
Left Alt key changes layout.,cambia la distribución.
CapsLock key changes layout.,Alt+Control cambia la distribución.
Shift+CapsLock changes layout.,Alt+Mayús.
Both Shift keys together change layout.,cambia la distribución.
Both Alt keys together change layout.,La tecla Menú cambia la distribución.
Both Ctrl keys together change layout.,La tecla Win izquierda cambia la distribución.
Control+Shift changes layout.,La tecla Win derecha cambia la distribución.
Alt+Control changes layout.,La tecla Mayús izquierda cambia el grupo.
Alt+Shift changes layout.,La tecla Mayús derecha cambia el grupo.
Menu key changes layout.,La tecla Ctrl izquierda cambia el grupo.
Left Win-key changes layout.,La tecla Ctrl derecha cambia el grupo.
Right Win-key changes layout.,Mapa de teclado armenio de Sun Mapa de teclado turco azerbaijaní de Sun Mapa del teclado holandés de Sun Mapa de teclado búlgaro de Sun Mapa de teclado portugués brasileño USB de Sun Mapa de teclado portugués brasileño de Sun Mapa de teclado Bielorruso de Sun Mapa de teclado canadiense de Sun Mapa de teclado suizo alemán de Sun Mapa de teclado checo de Sun Mapa de teclado alemán Type 4 de Sun Mapa de teclado alemán USB de Sun Mapa de teclado alemán de Sun Mapa de teclado danés Type 4 de Sun Mapa de teclado danés USB Mapa de teclado danés de Sun Mapa de teclado estonio de Sun Mapa de teclado español Type 4 de Sun Mapa de teclado español USB de Sun Mapa de teclado español de Sun Mapa de teclado finlandés de Sun Mapa de teclado francés USB de Sun Mapa de teclado francés de Sun Mapa de teclado británico Type 4 de Sun Mapa de teclado británico USB Sun Mapa de teclado británico de Sun Mapa de teclado húngaro latino2 de Sun Mapa de teclado húngaro Type 5 latino1 Mapa de teclado hebreo de Sun Mapa de teclado islandés de Sun Mapa de teclado Type-4 de Sun Mapa de teclado italiano USB de Sun Mapa de teclado italiano de Sun Mapa de teclado japonés Type-4 de Sun Mapa de teclado japonés de Sun Mapa de teclado lituano de Sun Mapa de teclado letón de Sun Mapa de teclado macedonio de Sun Mapa de teclado noruego de Sun Mapa de teclado polaco de Sun Mapa de teclado portugués Type 4 de Sun Mapa de teclado portugués de Sun Mapa de teclado rumano de Sun Mapa de teclado ruso de Sun Mapa de teclado sueco Type 4 de Sun Mapa de teclado sueco USB de Sun Mapa de teclado sueco de Sun Mapa de teclado esloveno de Sun Mapa de teclado eslovaco de Sun Mapa de teclado servio estándar de Sun Mapa de teclado tailandés de Sun Mapa de teclado turco de Sun Mapa de teclado ucraniano de Sun Mapa de teclado estadounidense Tipo 5 de Sun Mapa de teclado estadounidense Tipo4 de Sun Mapa de teclado estadounidense USB de Sun Mapa de teclado vietnamita de Sun _Grupos _Preferencias del teclado Mostrar _distribución actual Añadir complemento Fábrica de la miniaplicación del teclado Indicador del teclado Indicador de distribución del teclado Desconocido Distribución del teclado «%s» Copyright © Sergey V.
Left Shift key changes group.,Udaltsov 1999-2004 Indicador de la distribución del teclado para GNOME Indicador del teclado (%s) Distribución del teclado _Detalles _Actualizar Fábrica de la miniaplicación GWeather Fábrica para crear la miniaplicación de meteorología.
Right Shift key changes group.,Informe meteorológico Monitoriza la condiciones meteorológicas actuales y los pronósticos Copyright © 1999-2005 por S.
Left Ctrl key changes group.,Papadimitriou y otros Una aplicación del panel para monitorizar la meteorología local.
Right Ctrl key changes group.,Meteorología de GNOME Previsión meteorológica Ciudad: %s Cielo: %s Temperatura: %s Actualizando…
"Armenian Sun keymap Azerbaijani Turkish Sun keymap Dutch Sun keymap Bulgarian Sun keymap Brazil Portuguese Sun USB keymap Brazil Portuguese Sun keymap Belarusian Sun keymap Canadian Sun keymap Swiss German Sun keymap Czech Sun keymap German Sun Type-4 keymap German Sun USB keymap German Sun keymap Danish Sun Type-4 keymap Danish Sun USB keymap Danish Sun keymap Estonian Sun keymap Spanish Sun Type-4 keymap Spanish Sun USB keymap Spanish Sun keymap Finnish Sun keymap French Sun USB keymap French Sun keymap British Sun Type-4 keymap British Sun USB keymap British Sun keymap Hungarian latin2 Sun keymap Hungarian type5 latin 1 keymap Hebrew Sun keymap Icelandic Sun keymap Italian Sun Type-4 keymap Italian Sun USB keymap Italian Sun keymap Japanese Sun Type-4 keymap Japanese Sun keymap Lithuanian Sun keymap Latvian Sun keymap Macedonian Sun keymap Norwegian Sun keymap Polish Sun keymap Portuguese Sun Type-4 keymap Portuguese Sun keymap Romanian Sun keymap Russian Sun keymap Swedish Sun Type-4 keymap Swedish Sun USB keymap Swedish Sun keymap Slovenian Sun keymap Slovak Sun keymap Serbian Sun standard keymap Thai Sun keymap Turkish Sun keymap Ukrainian Sun keymap US Sun type5 keymap US Sun Type-4 keymap US Sun USB keymap Vietnamese Sun keymap _Groups Keyboard _Preferences Show Current _Layout Pl_ugins Keyboard applet factory Keyboard Indicator Keyboard layout indicator Unknown Keyboard Layout ""%s"" Copyright (c) Sergey V.",Detalles Ciudad: Última actualización: Condiciones: Cielo: Temperatura: Sensación térmica: Punto de condensación: Humedad relativa: Viento: Presión atmosférica: Visibilidad: Amanecer: Ocaso: Condiciones actuales Informe del pronóstico Ver los detalles del pronóstico Pronóstico Mapa de radar _Visitar weather.com Visitar weather.com Pulse para entrar en Weather.com Pronóstico no disponible actualmente para este lugar.
Udaltsov 1999-2004 Keyboard layout indicator applet for GNOME Keyboard Indicator (%s) Keyboard Layout _Details _Update Gweather Applet Factory Factory for creating the weather applet.,Vista de la zona Seleccione una zona de la lista Botón de intervalo de actualización Botón para la actualizar Dirección Introduzca el URL Falló al cargar la base de datos XML de zonas.
"Weather Report Monitor the current weather conditions, and forecasts © 1999-2005 by S.",Informe de esto como un fallo.
Papadimitriou and others A panel application for monitoring local weather conditions.,Preferencias de meteorología _Actualizar automáticamente cada: Unidad de _temperatura: Predeterminado Kelvin Centígrados Fahrenheit Unidad de velocidad del _viento:meters per second m/skilometers per hour Km/hmiles per hour mphknots nudos Escala Beaufort Unidad de _presión atmosférica:kiloPascals kPahectoPascals hPamillibars mbmillibars of mercury mmHginches of mercury inHgatmospheres atm Unidad de _visibilidad:meters metroskilometers Kmmiles millas Activar el mapa de _radar Usar dirección _personalizada para el mapa de radar Di_recciones: Actualizar minutos Visor General _Seleccione una zona: _Buscar: Buscar _siguiente Zona Invertir Seguimiento de su dinero invertido.
GNOME Weather Weather Forecast City: %s Sky: %s Temperature: %s Updating...,_Refrescar Gráfica financiera Símbolo del _ticker: Auto_refrescar Estilo de la _gráfica: Movimiento promedio: Media de movimiento exponencial: 5 10 20 50 100 200 Overlays: Bollinger SAR Splits Volúmenes Indicadores: RSI Vol MFI Slow stoch Vol+MA ROC Fast stoch W%R MACD _Opciones Descargando gráfica desde Yahoo!
Details City: Last update: Conditions: Sky: Temperature: Feels like: Dew point: Relative humidity: Wind: Pressure: Visibility: Sunrise: Sunset: Current Conditions Forecast Report See the ForeCast Details Forecast Radar Map _Visit Weather.com Visit Weather.com Click to Enter Weather.com Forecast not currently available for this location.,Preferencias de inversión Stocks Nota: Las cifras están retrasadas al menos 15 minutos.
Location view Select Location from the list Update spin button Spinbutton for updating Address Entry Enter the URL Failed to load the Locations XML database.,Fuentes: Yahoo!
Please report this as a bug.,Gráfica financiera - %s Abriendo gráfica Miniaplicación de inversiones Símbolo Cantidad Precio Comisión Actualizar last price Deskbar (anterior Mini-Commander) Deskbar (actualización transparente de Mini-Commander) Fábrica de la miniaplicación Mini-Commander Línea de comandos Mini-Commander Esta miniaplicación de GNOME añade una línea de comandos al panel.
Weather Preferences _Automatically update every: _Temperature unit: Default Kelvin Celsius Fahrenheit _Wind speed unit: m/s km/h mph knots Beaufort scale _Pressure unit: kPa hPa mb mmHg inHg atm _Visibility unit: meters km miles Enable _radar map Use _custom address for radar map A_ddress: Update minutes Display General _Select a location: _Find: Find _Next Location Invest Track your invested money.,"Tiene completado de comandos, histórico de comandos, y macros cambiables."
_Refresh Financial Chart _Ticker symbol: Auto _refresh _Graph style: Moving average: Exponential moving average: 5 10 20 50 100 200 Overlays: Bollinger SAR Splits Volumes Indicators: RSI Vol MFI Slow stoch Vol+MA ROC Fast stoch W%R MACD _Options Downloading chart from Yahoo!,"Histórico vacío Lanzar el programa Línea de comandos Escriba un comando aquí y GNOME lo ejecutará por usted No se puede obtener el esquema para %s: %s No se puede establecer el esquema para %s: %s Establecer el valor predeterminado de lista para %s GCONF_DISABLE_MAKEFILE_SCHEMA_INSTALL está activado, no se están instalando esquemas Debe asignar la variable de entorno GCONF_CONFIG_SOURCE Falló al acceder a las fuentes de configuración: %s Error al sincronizar los datos de configuración: %s Lista de patrones de macro Lista de entradas de GConfValue que contienen cadenas para los patrones de macro."
Invest Preferences Stocks Note: Quotes are delayed at least 15 minutes.,Lista de comandos de macro Lista de entradas de GConfValue que contienen cadenas para los comandos de macro.
Source: Yahoo!,Preferencias de línea de comandos Autocompletado _Activar autocompletado basado en histórico A_nchura: píxeles Colores _Usar los colores predeterminados del tema Color de la _tipografía: Color del _fondo: Escoja un color _Macros: _Añadir macro…
Financial Chart - %s Opening Chart Invest Applet Symbol Amount Price Commission Updated at %s Positions balance: %+.2f Deskbar (formerly Mini-Commander) Deskbar (transparent upgrade from Mini-Commander) MiniCommander Applet Factory Command Line Mini-Commander This GNOME applet adds a command line to the panel.,_Borrar macro Macros Añadir una macro nueva _Patrón: Co_mando: Mostrar el tirador Mostrar un tirador para que la miniaplicación pueda desprenderse del panel.
"It features command completion, command history, and changeable macros.",Mostrar el marco Mostrar un marco alrededor de la miniaplicación.
"No items in history Start program Command line Type a command here and Gnome will execute it for you Cannot get schema for %s: %s Cannot set schema for %s: %s Set default list value for %s GCONF_DISABLE_MAKEFILE_SCHEMA_INSTALL is set, not installing schemas Must set the GCONF_CONFIG_SOURCE environment variable Failed to access configuration source(s): %s Error syncing config data: %s Macro pattern list List of GConfValue entries containing strings for the macro patterns.",Realizar autocompletado mediante histórico Intenta autocompletar un comando desde el historial de comandos introducidos.
Macro command list List of GConfValue entries containing strings for the macro commands.,Anchura Anchura de la miniaplicación Ya no se utiliza Usar los colores del tema predeterminado Usa los colores del tema en lugar de los personalizados.
Command Line Preferences Auto Completion E_nable history-based auto completion _Width: pixels Colors _Use default theme colors Command line _foreground: Command line _background: Pick a color _Macros: _Add Macro...,"Color de tipografía, componente rojo El componente rojo del color de frente."
_Delete Macro Macros Add New Macro _Pattern: Co_mmand: Show handle Show a handle so the applet can be detached from the panel.,"Color de tipografía, componente verde El componente verde del color de frente."
Show frame Show a frame surrounding the applet.,"Color de tipografía, componente azul El componente azul del color de frente."
Perform history autocompletion Attempt to autocomplete a command from the history of commands entered.,"Color del fondo, componente roja El componente rojo del color de fondo."
Width Width of the applet Not used anymore Use the default theme colors Use theme colors instead of custom ones.,"Color del fondo, componente verde El componente verde del color de fondo."
"Foreground color, red component The red component of the foreground color.","Color del fondo, componente azul El componente azul del color de fondo."
"Foreground color, green component The green component of the foreground color.",Lista del histórico Lista de entradas de GConfValue que contienen cadenas para las entradas históricas.
"Foreground color, blue component The blue component of the foreground color.","Esta clave por miniaplicación se ha declarado obsoleta en favor de la clave global, /schemas/apps/mini-commander-global/macro_patterns."
"Background color, red component The red component of the background color.",Navegador Pulse sobre este botón para iniciar el navegador Histórico Pulse sobre este botón para la lista de comandos anteriores La línea de comandos ha sido desactivada por su administrador del sistema Miniaplicación Mini-Commander Esta miniaplicación añade una línea de comandos al panel Debe especificar un patrón Debe especificar un patrón y un comando Debe especificar un comando No puede especificar patrones duplicados Patrón Comando Control de volumen Ajusta el volumen del sonido _Silenciar Abrir el c_ontrol de volumen Miniaplicación del volumen El control de volumen no encontró ningún elemento y/o dispositivo que controlar.
"Background color, green component The green component of the background color.",Esto significa que no tiene los complementos correctos de GStreamer instalados o que no tiene una tarjeta de sonido configurada.
"Background color, blue component The blue component of the background color.",Puede quitar el control de volumen del panel pulsando con el botón derecho sobre el icono del altavoz en el panel y seleccionando «Quitar del panel» del menú.
History list List of GConfValue entries containing strings for history entries.,Falló al iniciar el control de volumen: %s %s: silenciado %s: %d%% Falló al mostrar la ayuda: %s Control de volumen para su Panel de GNOME.
"This per-applet key is deprecated in favour of the global key, /schemas/apps/mini-commander-global/macro_patterns.",Usando GStreamer 0.10.
Browser Click this button to start the browser History Click this button for the list of previous commands Command line has been disabled by your system administrator Mini-Commander applet This applet adds a command line to the panel You must specify a pattern You must specify a pattern and a command You must specify a command You may not specify duplicate patterns Pattern Command Volume Control Adjust the sound volume Mu_te _Open Volume Control Volume Applet The volume control did not find any elements and/or devices to control.,Control de volumen Control de volumen desconocido %d Canal controlado por la miniaplicación.
"This means either that you don't have the right GStreamer plugins installed, or that you don't have a sound card configured.",Sólo para configuraciones de OSS Estado de silencio guardado Volumen guardado para restaurar durante el inicio Preferencias del control de volumen Seleccione el dispositivo y pista para controlar.
"You can remove the volume control from the panel by right-clicking the speaker icon on the panel and selecting ""Remove From Panel"" from the menu.","Monitor del módem Activar y monitorizar una conexión de marcado telefónico _Activar _Desactivar _Propiedades Conexión activa, pero no se pudo obtener el tiempo de conexión Tiempo conectado: %.1d:%.2d Desconectado Para conectarse a su proveedor de servicios de Internet, necesita privilegios de administrador Para desconectarse de su proveedor de servicios de Internet, necesita privilegios de administrador La contraseña introducida no es válida Comprueba que la ha tecleado correctamente y que no ha activado la tecla «Bloq."
Failed to start Volume Control: %s %s: muted %s: %d%% Failed to display help: %s Volume control for your GNOME Panel.,Mayús.» ¿Desea conectarse?
Using GStreamer 0.10.,¿Desea desconectarse?
Volume Control...,C_onectar _Desconectar No se pudo lanzar la herramienta de configuración de red Comprueba que está instalado en la ruta correcta y que tienen los permisos correctos Miniaplicación para activar y monitorizar una conexión de red de marcado telefónico.
Unknown Volume Control %d Channel controlled by applet.,"Introduzca la contraseña Contraseña: Conectando con el proveedor de servicios de Internet Monitor del sistema Un indicador de carga del sistema Abrir el m_onitor del sistema Un monitor de carga del sistema capaz de mostrar gráficos para la CPU, RAM y del uso del espacio intercambio, además del tráfico de red."
Only for OSS setups Saved mute state Saved volume to restore on startup Volume Control Preferences Select the device and track to control.,"Ha ocurrido un error al ejecutar «%s» : %s Procesador Memoria Red Espacio de intercambio Carga media Disco %s: %u%% en uso por programas %u%% en uso como caché La carga media del sistema es del %0.02f Carga CPU Carga de memoria Carga de red Carga del intercambio Carga del disco Activar el gráfico de carga de CPU Activar el gráfico de carga de memoria Activar el gráfico de carga de la red Activar el gráfico de carga de intercambio Activar el gráfico de promedio de carga Activar el gráfico de carga de disco Tasa de refresco de la miniaplicación en milisegundos Tamaño del gráfico Para los paneles horizontales, el ancho de los gráficos en píxeles, para los paneles verticales, esto es la altura de los gráficos."
"Modem Monitor Activate and monitor a dial-up network connection _Activate _Deactivate _Properties Connection active, but could not get connection time Time connected: %.1d:%.2d Not connected To connect to your Internet service provider, you need administrator privileges To disconnect from your Internet service provider, you need administrator privileges The entered password is invalid Check that you have typed it correctly and that you haven't activated the ""caps lock"" key Do you want to connect?",El color del gráfico para la actividad de la CPU relacionada con el usuario El color del gráfico para la actividad de la CPU relacionada con el sistema El color del gráfico para la actividad de la CPU relacionada con la prioridad El color del gráfico para la espera de E/S relacionada con la actividad de la CPU Color de fondo del gráfico de carga de CPU El color del gráfico para el uso de memoria relacionado con el usuario El color del gráfico para la memoria compartida El color del gráfico para la memoria del búfer El color del gráfico para la memoria caché Color de fondo del gráfico de uso de memoria El color del gráfico para mostrar la actividad de la red Ethernet El color del gráfico para mostrar la actividad de la red Ethernet El color del gráfico para otros usos de la red Color de fondo del gráfico de red El color del gráfico para el uso de intercambio relativo al usuario Color de fondo del gráfico del espacio de intercambio El color del gráfico para el promedio de carga Color de fondo del gráfico de carga del sistema El color del gráfico para las lecturas de disco El color del gráfico para las escrituras de disco Color del fondo para el gráfico de carga de disco Recursos monitorizados _Procesador _Memoria _Red Espacio de _intercambio Car_ga _Disco duro Opciones Anchura del m_onitor del sistema: Altura del m_onitor del sistema: Intervalo de actualización del monitor del sis_tema: milisegundos _Usuario _Sistema _Prioridad Espera _E/S _Ocioso _Compartida _Búferes C_acheada _Libre _Fondo _Usado _Libre Carga _Media Disco duro _Lectura _Escritura Preferencias del monitor del sistema Reproductor de CD (obsoleto) Miniaplicación del panel para reproducir CDs de sonido Monitor de bandeja de entrada (obsoleto) Avisarme cuando llegue correo nuevo Preferencias del control de volumen Fábrica de miniaplicaciones nulas Fábrica para convertir miniaplicaciones en obsoletas Monitor de enlace inalámbrico Monitoriza la calidad de un enlace de red inalámbrico Monitor del módem Algunos elementos del panel no estarán disponibles a partir de ahora Uno o más elementos del panel (también llamados miniaplicaciones) no están ya disponibles en el escritorio GNOME.
Do you want to disconnect?,Estos elementos se quitarán de su configuración: No recibirá este mensaje de nuevo.
C_onnect _Disconnect Could not launch network configuration tool Check that it's installed in the correct path and that it has the correct permissions Applet for activating and monitoring a dial-up network connection.,"Tomboy (antes Notas adhesivas) Tomboy (actualización transparente de notas adhesivas) Fábrica miniaplicación de Notas adhesivas Notas adhesivas Crea, muestra y administra notas adhesivas en el escritorio Nota _nueva _Ocultar notas B_loquear las notas _Borrar las notas Esta nota está bloqueada."
"Enter password Password: Connecting with Internet Service Provider System Monitor A system load indicator _Open System Monitor A system load monitor capable of displaying graphs for CPU, ram, and swap space use, plus network traffic.",Esta nota está desbloqueada.
"There was an error executing '%s': %s Processor Memory Network Swap Space Load Average Disk %s: %u%% in use by programs %u%% in use as cache The system load average is %0.02f CPU Load Memory Load Net Load Swap Load Disk Load Enable CPU load graph Enable memory load graph Enable network load graph Enable swap load graph Enable load average graph Enable disk load graph Applet refresh rate in milliseconds Graph size For horizontal panels, the width of the graphs in pixels.",Preferencias de las notas adhesivas Propiedades predeterminadas de la nota Seleccione una tipografía para usar en todas las notas adhesivas Seleccione una tipografía predeterminada para la nota adhesiva T_ipografía: Usar la _tipografía del tema del sistema C_olor de la nota: Co_lor de la tipografía: Seleccione un color base para usar con todas las notas adhesivas Seleccione un color predeterminado para la nota adhesiva Usar el co_lor del tema del sistema Especifica la altura predeterminada (en píxeles) de las notas nuevas Especifica la anchura predeterminada (en píxeles) de las notas nuevas A_ltura: Comportamiento Forzar los colores y tipografías pre_determinados en las notas Seleccione si se debe forzar el estilo predeterminado en todas las notas C_olocar las notas en todas las áreas de trabajo Elija si las notas serán visibles en todas las áreas de trabajo Mostrar notas adhesivas Esta nota está desbloqueada.
"For vertical panels, this is the height of the graphs.",Mostrar notas adhesivas _Borrar todas Nota adhesiva Bloquear/Desbloquear la nota Cerrar nota Redimensionar la nota Propiedades de la nota adhesiva _Propiedades Seleccione una tipografía para la nota Seleccione una tipografía para la nota adhesiva Usar la tipografía predetermi_nada Seleccione un color para la nota Seleccione un color para la nota adhesiva _Color de la nota: Color de la _tipografía: Usar el co_lor predeterminado Especifique un título para la nota _Título: Anchura predeterminado para las notas nuevas Anchura predeterminado en píxeles para las notas adhesivas nuevas.
Graph color for user-related CPU activity Graph color for system-related CPU activity Graph color for nice-related CPU activity Graph color for iowait related CPU activity CPU graph background color Graph color for user-related memory usage Graph color for shared memory Graph color for buffer memory Graph color for cached memory Memory graph background color Graph color for input network activity Graph color for output network activity Graph color for loopback network usage Network graph background color Graph color for user-related swap usage Swap graph background color Graph color for load average Load graph background color Graph color for disk read Graph color for disk write Background color for disk load graph Monitored Resources _Processor _Memory _Network S_wap Space _Load _Harddisk Options System m_onitor width: System m_onitor height: Sys_tem monitor update interval: milliseconds _User S_ystem N_ice I_OWait I_dle Sh_ared _Buffers Cach_ed F_ree _Background _Used _Free Load _Average Harddisk _Read _Write System Monitor Preferences CD Player (Deprecated) Panel applet for playing audio CDs Inbox Monitor (Deprecated) Alert you when new mail arrives Volume Control (Deprecated) Null Applet Factory Factory for deprecating applets Wireless Link Monitor Monitor the quality of a wireless network link Inbox Monitor Some panel items are no longer available One or more panel items (also referred to as applets) are no longer available in the GNOME desktop.,Altura predeterminada para las notas nuevas Altura predeterminada en píxeles para las notas adhesivas nuevas.
These items will now be removed from your configuration: You will not receive this message again.,Color de predeterminado para las notas nuevas Color predeterminado para las notas adhesivas nuevas.
"Tomboy (ne Stickynotes) Tomboy (transparent upgrade from stickynotes) Sticky Notes Applet Factory Sticky Notes Create, view, and manage sticky notes on the desktop _New Note Hi_de Notes _Lock Notes _Delete Notes This note is locked.","Este podría estar en especificación hexadecimal html, por ejemplo «#30FF50»."
This note is unlocked.,Color de predeterminado para la tipografía Color predeterminado para la tipografía de las notas adhesivas nuevas.
Sticky Notes Preferences Default Note Properties Choose a font to use for all sticky notes Pick a default sticky note font _Font: Use fo_nt from the system theme Note C_olor: Font Co_lor: Choose a base color to use for all sticky notes Pick a default sticky note color Use co_lor from the system theme Specify the default height (in pixels) of new notes Specify the default width (in pixels) of new notes H_eight: Behavior Force _default color and font on notes Choose if the default style is forced on all notes _Put notes on all workspaces Choose if notes are visible on all workspaces Delete this sticky note?,"Este podría estar en especificación hexadecimal html, por ejemplo «#000000»."
This cannot be undone.,Tipografía predeterminada para las notas nuevas Tipografía predeterminada para las notas adhesivas nuevas.
Delete all sticky notes?,"Esto debería ser un nombre de tipografía Pango, por ejemplo «Sans Italic 10» Adherencia del área de trabajo de las notas adhesivas Especifica si las notas adhesivas son visibles en TODAS las áreas de trabajo del escritorio, o no."
_Delete All Sticky Note Lock/Unlock note Close note Resize note Sticky Note Properties Properties Choose a font for the note Pick a font for the sticky note Use default fo_nt Choose a color for the note Pick a color for the sticky note Note _Color: Font C_olor: Use default co_lor Specify a title for the note _Title: Default width for new notes Default width for new sticky notes in pixels.,Estado de bloqueo de las notas adhesivas Especifica si las notas adhesivas están bloqueadas (no editables) o no.
Default height for new notes Default height for new sticky notes in pixels.,"Formato de fecha del título de la nota Por omisión, las notas adhesivas utilizan la fecha actual como título al crearse."
Default color for new notes Default color for new sticky notes.,Este es el formato utilizado.
"This should be in html hex specification, for example ""#30FF50"".",Cualquier formato que pueda ser analizado por strftime() es válido.
Default color for font Default font color for new sticky notes.,Define si se debe utilizar el color predeterminado del sistema Si esta opción esta deshabilitada se puede utilizar una color personalizado como el color predeterminado para todas las notas adhesivas.
"This should be in html hex specification, for example ""#000000"".","Define si se debe utilizar la tipografía predeterminada del sistema Si esta opción está deshabilitada, se puede utilizar una tipografía personalizada como tipografía predeterminada para todas las notas adhesivas."
Default font for new notes Default font for new sticky notes.,Define si se debe forzar el uso del color y la tipografía predeterminada en todas las notas Si esta opción esta habilitada los colores y tipografías personalizadas que han sido asignados a las notas individuales serán ignorados.
"This should be a Pango Font Name, for example ""Sans Italic 10"".",Define si se debe solicitar una confirmación cuando se está borrando una nota Las notas vacías siempre se borran sin confirmar Mostrar notas adhesivas Notas adhesivas para el «Entorno de Escritorio GNOME» Papelera Ir a la papelera _Abrir %s _Vaciar papelera No hay elementos en la papelera Error al resucitar Nautilus: %s Un cubo de papelera que vive en su panel.
"Sticky notes' workspace stickyness Specifies whether the sticky notes are visible on ALL workspaces on the desktop, or not.",Puede usarlo para ver la papelera o arrastrar y soltar elementos en la papelera.
Sticky notes' locked state Specifies whether the sticky notes are locked (non-editable) or not.,¿Borrar inmediatamente?
"Date format of note's title By default, sticky notes are given the current date as the title when they are created.","No se pueden mover los elementos a la papelera, ¿quiere borrarlos inmediatamente?"
This format is used; anything that can be parsed by strftime() is valid.,"No se pueden mover algunos elementos a la papelera, ¿quiere borrar éstos inmediatamente?"
"Whether to use the default system color If this option is disabled, a custom color can be used as the default color for all sticky notes.",Miniaplicación de la papelera Quitando elemento %s de %s Quitando: ¿Seguro que quiere vaciar todos los elementos de la papelera?
"Whether to use the default system font If this option is disabled, a custom font can be used as the default font for all sticky notes.","Si elije vaciar la papelera, todos los elementos dentro de ella se borrarán y se perderán para siempre."
"Whether to force the default color and font on all notes If this option is enabled, the custom colors and fonts that have been assigned to individual notes will be ignored.",También puede borrarlos por separado.
Whether to ask for confirmation when deleting a note Empty notes are always deleted without confirmation.,Vaciando la papelera Preferencias de accesibilidad del _teclado Ay_uda _Acerca de Fábrica de la miniaplicación Estado de AccessX Fábrica de la miniaplicación de estado de accesibilidad del teclado Estado de accesibilidad del teclado Muestra el estado de las características de accesibilidad del teclado Muestra el estado de las características AccessX como los modificadores bloqueadosdocumenters Francisco Javier F.
Show sticky notes Sticky Notes for the GNOME Desktop Environment Trash Go to Trash _Open Trash _Empty Trash No Items in Trash Error while spawning nautilus: %s A GNOME trash bin that lives in your panel.,Serrador <serrador\@cvs\.gnome\.org> Jorge González González <jorge\.gonzalez\.gonzalez\@hispalinux\.es> Ha ocurrido un error lanzando el visor de ayuda: %s Ha ocurrido un error al lanzar el diálogo de preferencias del teclado: %s a Estado de AccessX Muestra el estado del teclado cuando se usan las características de accesibilidad.
You can use it to view the trash or drag and drop items into the trash.,"La extensión XKB no está activada Error desconocido Error: %s Muestra el estado actual de las características de accesibilidad del teclado Fábrica para «Estado de la batería» Monitor de carga batería Monitoriza la carga restante de un portátil _Preferencias El sistema está funcionando con CA El sistema está funcionando con baterías Batería cargada al (%d%%) Tiempo desconocido, (%d%%) restante Tiempo desconocido, (%d%%) hasta su carga Le quedan %d %s %d %s (%d%%) %d %s %d %s para cargarse (%d%%) Monitor de la batería La batería está recargada completamente Notificación de batería Le queda un %d%% de la capacidad total de su batería."
Delete Immediately?,"Para evitar perder su trabajo: • enchufe su portátil a una fuente de alimentación externa, o • guarde los documentos abiertos y apague el portátil."
